sampled_at_utc	tcfs_pids	s3_established_sockets	highwater	limit
2026-05-14T02:25:39Z	93467,97908	9	10	8
2026-05-14T02:25:44Z	93467,98426	9	10	8
2026-05-14T02:25:49Z	93467,99195	9	10	8
2026-05-14T02:25:54Z	93467,99586	9	10	8
2026-05-14T02:26:00Z	93467,99743	9	10	8
2026-05-14T02:26:05Z	93467,99788	8	10	8
2026-05-14T02:26:10Z	93467,99813	8	10	8
2026-05-14T02:26:15Z	93467,99831	8	10	8
2026-05-14T02:26:20Z	93467,99860	8	10	8
2026-05-14T02:26:25Z	93467,99885	8	10	8
2026-05-14T02:26:30Z	354,93467	8	10	8
2026-05-14T02:26:35Z	1147,93467	8	10	8
2026-05-14T02:26:40Z	1592,93467	8	10	8
2026-05-14T02:26:45Z	1609,93467	8	10	8
2026-05-14T02:26:50Z	1643,93467	8	10	8
2026-05-14T02:26:55Z	2210,93467	8	10	8
2026-05-14T02:27:00Z	2231,93467	8	10	8
2026-05-14T02:27:06Z	2251,93467	9	10	8
2026-05-14T02:27:11Z	2283,93467	9	10	8
2026-05-14T02:27:16Z	2347,93467	9	10	8
2026-05-14T02:27:21Z	2363,93467	9	10	8
2026-05-14T02:27:26Z	2385,93467	9	10	8
2026-05-14T02:27:31Z	2404,93467	9	10	8
2026-05-14T02:27:36Z	2421,93467	8	10	8
2026-05-14T02:27:41Z	2456,93467	8	10	8
2026-05-14T02:27:46Z	2469,93467	8	10	8
2026-05-14T02:27:51Z	2491,93467	8	10	8
2026-05-14T02:27:56Z	2534,93467	8	10	8
2026-05-14T02:28:01Z	2553,93467	8	10	8
2026-05-14T02:28:07Z	2572,93467	9	10	8
2026-05-14T02:28:12Z	2605,93467	9	10	8
2026-05-14T02:28:17Z	2626,93467	9	10	8
2026-05-14T02:28:22Z	2642,93467	9	10	8
2026-05-14T02:28:27Z	2687,93467	9	10	8
2026-05-14T02:28:32Z	2778,93467	9	10	8
2026-05-14T02:28:37Z	2791,93467	8	10	8
2026-05-14T02:28:42Z	2814,93467	8	10	8
2026-05-14T02:28:47Z	2833,93467	9	10	8
2026-05-14T02:28:52Z	2857,93467	9	10	8
2026-05-14T02:28:57Z	2872,93467	9	10	8
2026-05-14T02:29:02Z	2946,93467	9	10	8
2026-05-14T02:29:07Z	2974,93467	8	10	8
2026-05-14T02:29:13Z	2992,93467	8	10	8
2026-05-14T02:29:18Z	3012,93467	9	10	8
2026-05-14T02:29:23Z	3029,93467	9	10	8
2026-05-14T02:29:28Z	3042,93467	9	10	8
2026-05-14T02:29:33Z	3061,93467	8	10	8
2026-05-14T02:29:38Z	3083,93467	8	10	8
2026-05-14T02:29:43Z	3103,93467	8	10	8
2026-05-14T02:29:48Z	3116,93467	8	10	8
2026-05-14T02:29:53Z	3146,93467	8	10	8
2026-05-14T02:29:58Z	3161,93467	8	10	8
2026-05-14T02:30:03Z	3194,93467	8	10	8
2026-05-14T02:30:08Z	3218,93467	8	10	8
2026-05-14T02:30:14Z	3248,93467	8	10	8
2026-05-14T02:30:19Z	3262,93467	8	10	8
2026-05-14T02:30:24Z	3280,93467	8	10	8
2026-05-14T02:30:29Z	3300,93467	10	10	8
